,timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi,session_index,file_index,preprocessed
0,[14/02/20 13.08.01],mahasiswa,"Assalamu’alaikum Pak [DOSEN], perkenalkan saya [MHS] dari Informatika 2016. Saya mahasiswa bimbingan skripsi bapak yang mengajukan topik mengenai omzet rumah makan. Saya ingin memberitahukan bahwa saya sudah mengupload praproposal pada filkom apps. Mohon maaf jika ada salah kata dan mengganggu waktu bapak. Terima kasih",1,-1,0,9,"['assalamu', 'alaikum', 'dosen', 'kenal', 'mahasiswa', 'informatika', '2016', 'mahasiswa', 'bimbing', 'skripsi', 'aju', 'topik', 'kena', 'omzet', 'rumah', 'makan', 'memberitahukan', 'mengupload', 'praproposal', 'filkom', 'apps', 'mohon', 'maaf', 'salah', 'ganggu', 'terima', 'kasih']"
1,[21/02/20 14.23.38],mahasiswa,"Assalamu’alaikum, mohon maaf mengganggu waktunya pak. Saya [MHS] mahasiswa bimbingan bapak. Apakah hari ini saya bisa bimbingan ke bapak? Saya ingin menanyakan juga mengenai filkom apps saya yg mungkin terjadi bug. Mohon maaf mengganggu waktunya pak, terima kasih banyak",1,1,1,9,"['assalamu', 'alaikum', 'mohon', 'maaf', 'ganggu', 'mahasiswa', 'mahasiswa', 'bimbing', 'bimbing', 'kena', 'filkom', 'apps', 'bug', 'mohon', 'maaf', 'ganggu', 'terima', 'kasih']"
2,[21/02/20 14.39.52],dosen,Wa'alaykumsalam. InsyaAllah hari Selasa siang ya.. Permasalahan apa di appsnya?,1,1,2,9,"['wa', 'alaykumsalam', 'insyaallah', 'selasa', 'siang', 'iya', 'appsnya']"
3,[21/02/20 14.40.56],mahasiswa,<DOC>,1,1,3,9,['doc']
4,[21/02/20 14.41.03],mahasiswa,<DOC>,1,1,4,9,['doc']
5,[21/02/20 14.41.22],mahasiswa,"Pada tampilan tersebut pak [DOSEN], sudah bersedia. Mohon maaf bila ada salah kata pak. Terima kasih",1,1,5,9,"['tampil', 'dosen', 'sedia', 'mohon', 'maaf', 'salah', 'terima', 'kasih']"
6,[21/02/20 14.42.00],dosen,Mgkn belum diplot dosbing 2 nya oleh KPS,1,1,6,9,"['plot', 'dosen pembimbing', '2', 'nya', 'kps']"
7,[21/02/20 14.44.34],mahasiswa,"Ohh begitu ya pak, terima kasih atas infonya. Mohon maaf mengganggu waktunya pak",1,1,7,9,"['oh', 'iya', 'terima', 'kasih', 'informasi', 'mohon', 'maaf', 'ganggu']"
8,[25/02/20 15.02.47],mahasiswa,"Assalamu’alaikum Pak [DOSEN], saya  mahasiswa bimbingan skripsi bapak. Saya ingin menanyakan apakah hari ini saya bisa bimbingan ke bapak? Mohon maaf bila ada salah kata dan mengganggu waktu bapak. Terima kasih",1,-1,8,9,"['assalamu', 'alaikum', 'dosen', 'mahasiswa', 'bimbing', 'skripsi', 'bimbing', 'mohon', 'maaf', 'salah', 'ganggu', 'terima', 'kasih']"
9,[30/03/20 10.45.30],mahasiswa,"Assalamu’alaikum pak , mohon maaf mengganggu waktunya. Untuk bimbingan onlinenya prosedurnya seperti apa ya pak? Terima kasih",1,1,9,9,"['assalamu', 'alaikum', 'mohon', 'maaf', 'ganggu', 'bimbing', 'onlinenya', 'prosedur', 'iya', 'terima', 'kasih']"
10,[30/03/20 11.41.44],dosen,Wa'alaykumsalam. Bisa bimbingan via wa ini,1,1,10,9,"['wa', 'alaykumsalam', 'bimbing', 'via', 'wa']"
11,[30/03/20 12.35.22],mahasiswa,Pengumpulan progresnya dikumpulkan melalui wa jg pak?,1,1,11,9,"['kumpul', 'progres', 'kumpul', 'wa']"
12,[30/03/20 13.12.06],dosen,Iya,1,1,12,9,['iya']
13,[30/03/20 13.12.06],dosen,Laporannya,1,1,12,9,['lapor']
14,[30/03/20 13.46.50],mahasiswa,"Baik pak, terima kasih atas informasinya",1,1,13,9,"['terima', 'kasih', 'informasi']"
